-4.6,90,563,4.5,980.0,95,95,1.1,0.0,0
2.7,703,1369,8.6,974.1,65,73,0.8,0.0,0
2.0,672,1273,7.5,973.6,75,85,0.3,0.0,0
1.4,611,1118,6.9,971.9,80,99,2.8,0.0,0
3.4,657,1230,8.3,968.4,76,0,0.0,0.0,0
2.6,657,1225,7.6,969.7,82,0,0.0,0.0,0
2.3,657,1225,7.0,972.2,90,0,0.0,0.0,0
2.1,657,1220,6.6,972.6,96,62,0.7,0.0,0
3.7,595,1097,9.7,971.7,79,68,1.2,0.0,0
3.0,672,1236,8.2,976.6,93,232,1.1,0.0,0
0.7,641,1172,6.1,983.2,93,14,1.0,0.0,0
0.6,626,1161,5.8,984.0,91,240,0.9,0.0,0
0.5,672,1305,6.5,980.3,70,38,0.9,0.0,0
0.0,687,1337,5.1,980.9,78,288,0.7,0.0,0
0.0,657,1279,4.4,981.5,82,4,1.4,0.0,0
-0.3,611,1182,3.5,982.0,86,258,0.8,0.0,0
-1.0,136,563,2.5,981.9,92,295,1.1,0.0,0
-1.1,120,563,1.8,982.3,94,17,1.2,0.0,0
-1.2,120,563,1.4,982.3,96,242,0.5,0.0,0
-1.3,105,563,1.0,982.0,97,34,0.7,0.0,0
-1.5,105,563,0.6,981.3,98,96,1.4,0.0,0
-1.8,105,563,0.4,980.8,98,121,1.3,0.0,0
-2.1,105,563,0.6,980.6,99,124,1.1,0.0,0
-2.2,90,563,0.6,980.6,99,124,1.1,0.0,0
-2.4,105,563,0.6,981.2,99,90,1.8,0.0,0
-2.6,105,563,0.5,981.6,99,104,1.7,0.0,0
1.4,626,1172,1.4,981.9,99,93,1.8,0.0,0
8.5,657,1252,10.9,976.8,46,93,0.6,0.0,0
8.0,703,1353,13.8,974.0,33,290,2.6,0.0,0
2.0,672,1247,7.1,974.6,68,0,0.6,0.0,0
1.9,672,1257,6.3,975.1,73,259,0.8,0.0,0
2.2,687,1284,6.1,975.2,76,96,0.6,0.0,0
2.3,703,1300,6.1,975.2,73,132,0.7,0.0,0
2.3,703,1311,5.8,975.0,79,98,0.7,0.0,0
2.3,687,1311,5.5,974.9,85,96,0.8,0.0,0
2.3,703,1321,5.7,974.8,82,155,1.1,0.0,0
2.3,687,1316,5.5,974.5,87,107,1.1,0.0,0
2.3,703,1321,5.5,974.0,85,295,0.4,0.0,0
2.3,703,1332,5.4,974.1,86,115,1.0,0.0,0
2.3,703,1332,5.4,974.3,88,96,0.9,0.0,0
2.7,703,1327,5.7,975.0,90,98,1.1,0.0,0
4.4,718,1385,7.2,975.5,80,8,0.6,0.0,0
4.6,764,1508,10.6,971.2,58,96,1.1,0.0,0
4.1,749,1514,10.2,971.5,64,53,0.8,0.0,0
3.5,749,1492,9.7,972.1,67,101,1.1,0.0,0
3.4,749,1476,9.4,972.4,69,70,0.7,0.0,0
3.1,733,1449,9.0,972.5,74,11,0.6,0.0,0
3.3,749,1476,8.6,972.5,73,0,0.0,0.0,0
3.0,749,1460,8.0,971.8,85,76,1.5,0.0,0
3.1,749,1444,7.9,971.4,83,124,0.9,0.0,0
3.1,733,1417,7.8,971.3,83,196,0.6,0.0,0
2.8,718,1321,7.6,970.8,85,60,0.6,0.0,0
2.8,718,1311,7.7,971.2,85,100,1.9,0.0,0
2.7,718,1327,7.6,971.6,84,0,0.0,0.0,0
4.5,718,1396,10.7,968.5,72,213,0.3,0.0,0
4.0,703,1380,10.4,968.9,74,0,0.0,0.0,0
3.7,703,1359,10.1,969.9,76,28,0.7,0.0,0
3.5,718,1343,9.7,971.0,77,47,0.8,0.0,0
3.5,703,1332,9.5,971.5,78,92,0.3,0.0,0
3.5,703,1327,9.4,972.1,78,0,0.0,0.0,0
3.5,703,1327,9.1,972.9,80,315,0.5,0.0,0
3.5,703,1327,9.1,972.9,80,315,0.5,0.0,0
2.6,657,1198,7.8,980.9,96,123,1.0,0.0,0
1.9,641,1198,6.8,977.9,88,81,0.7,0.0,0
2.9,657,1209,8.7,968.9,67,93,2.1,0.0,0
2.6,657,1204,8.4,968.8,70,101,2.2,0.0,0
2.4,657,1204,7.5,967.9,77,122,1.1,0.0,0
4.4,595,1102,8.2,963.0,86,262,1.0,0.0,0
2.7,595,1092,7.6,968.5,96,354,1.2,0.0,0
4.2,611,1134,11.3,973.7,71,86,0.9,0.0,0
3.5,672,1230,9.1,976.5,92,204,0.7,0.0,0
2.6,626,1150,7.5,972.9,82,48,0.8,0.0,0
6.9,274,654,12.4,961.8,70,105,1.5,0.0,0
3.7,442,814,6.9,957.3,96,94,1.5,0.0,0
10.6,105,542,18.4,957.6,49,279,5.5,0.0,0
7.5,105,568,14.2,965.2,63,283,2.3,0.0,0
5.3,657,1225,11.6,967.4,71,61,3.4,0.0,0
4.2,534,980,9.9,967.9,79,129,1.1,0.0,0
3.7,641,1209,8.7,969.3,75,56,4.4,0.0,0
1.9,641,1193,6.3,972.6,83,90,4.4,0.0,0
0.0,580,1076,2.9,975.9,94,98,2.4,0.1,0
0.5,626,1156,5.4,979.3,66,84,2.0,0.0,0
0.3,595,1108,5.1,982.1,71,220,0.6,0.0,0
1.1,595,1108,5.7,975.5,84,28,0.4,0.0,0
1.7,611,1140,5.3,976.9,95,228,0.6,0.0,0
3.8,611,1118,9.6,975.9,67,335,0.7,0.0,0
2.0,595,1081,7.1,977.5,91,0,0.0,0.0,0
2.3,473,883,8.6,973.3,72,92,2.7,0.0,0
2.6,626,1166,7.5,973.4,75,110,2.2,0.0,0
1.4,641,1172,5.7,977.3,91,186,1.2,0.0,0
1.5,565,1028,7.6,973.3,70,79,4.1,0.0,0
1.9,626,1156,7.6,973.9,64,82,6.0,0.0,0
0.0,549,1001,5.1,974.7,80,83,1.4,0.0,0
0.0,534,990,5.0,974.2,79,87,2.1,0.0,0
-0.1,595,1081,4.8,974.6,78,102,1.6,0.0,0
-0.1,657,1225,5.0,975.9,78,99,1.8,0.0,0
0.0,641,1198,5.4,975.6,74,111,2.9,0.0,0
0.4,534,974,6.1,974.6,66,89,2.9,0.0,0
-0.1,580,1076,5.1,970.9,67,94,3.1,0.0,0
-0.2,595,1070,3.5,970.9,80,53,2.8,0.0,0
-0.4,228,542,3.6,971.6,80,118,1.3,0.0,0
-0.4,228,542,3.5,971.4,76,123,0.9,0.0,0
-0.4,212,542,3.5,971.4,76,123,0.9,0.0,0
-0.5,212,542,3.5,971.2,77,82,2.0,0.0,0
-0.5,212,568,3.8,970.3,71,92,2.3,0.0,0
-0.6,212,568,3.3,969.3,78,112,1.6,0.0,0
-0.5,212,542,3.3,968.9,78,65,2.4,0.0,0
-0.5,212,542,3.1,969.9,81,167,0.6,0.0,0
0.1,549,1012,6.0,967.7,70,199,1.0,0.0,0
0.1,549,1001,5.6,968.7,72,199,1.2,0.0,0
0.0,549,990,5.5,969.5,73,294,0.9,0.0,0
0.0,549,990,5.5,970.3,74,237,1.1,0.0,0
0.0,549,990,5.4,970.8,75,315,0.8,0.0,0
0.1,549,990,5.2,971.1,81,11,0.7,0.0,0
0.1,549,990,5.0,971.0,80,317,0.5,0.0,0
0.0,534,990,4.8,970.5,86,111,1.0,0.0,0
0.1,534,990,4.6,969.7,88,96,1.1,0.0,0
0.0,549,990,4.5,970.4,91,99,1.4,0.0,0
0.0,549,980,4.5,971.0,88,200,0.8,0.0,0
0.7,580,1060,8.0,969.0,70,209,0.6,0.0,0
0.4,580,1065,6.5,971.7,85,260,0.8,0.0,0
0.5,595,1092,5.4,971.8,97,107,0.6,0.0,0
0.5,565,1054,5.5,973.1,97,0,0.0,0.0,0
2.9,565,1044,10.3,972.1,66,80,2.5,0.0,0
1.7,641,1188,7.0,975.5,95,90,0.3,0.0,0
3.6,580,1054,10.4,974.4,71,90,1.6,0.0,0
0.9,549,990,6.8,975.3,91,104,2.1,0.0,0
0.8,549,980,6.6,973.3,94,115,1.5,0.0,0
2.9,580,1049,10.3,971.2,65,101,2.6,0.0,0
2.4,519,931,9.5,972.6,71,39,2.5,0.0,0
1.7,641,1182,7.3,975.4,94,0,0.0,0.3,0
0.3,549,1006,6.3,974.9,96,104,1.1,0.1,0
2.1,580,1060,9.0,973.2,67,90,0.9,0.0,0
0.2,595,1086,5.5,974.8,97,73,1.3,0.2,0
0.3,626,1129,5.0,975.0,95,109,1.1,0.0,0
2.8,580,1070,9.5,971.6,64,273,1.0,0.0,0
1.5,549,996,5.9,972.5,91,275,0.5,0.0,0
5.6,519,958,13.5,968.4,51,111,3.0,0.0,0
3.8,534,990,11.3,970.6,62,73,1.0,0.0,0
2.8,657,1198,9.0,969.0,83,54,2.2,0.0,0
3.4,580,1038,9.2,969.0,82,278,1.1,0.0,0
2.5,641,1182,7.5,969.8,98,148,0.6,0.0,0
